Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,1767.19,119.94,14.7345
0.12,0.4,64,1767.19,193.31,9.1419
0.12,0.4,128,1767.19,333.36,5.3012
0.12,0.6,32,1767.19,122.34,14.4452
0.12,0.6,64,1767.19,226.99,7.7852
0.12,0.6,128,1767.19,342.15,5.165
0.12,0.8,32,1767.19,110.14,16.045
0.12,0.8,64,1767.19,187.14,9.4431
0.12,0.8,128,1767.19,330.44,5.348
0.3,0.4,32,1767.19,104.64,16.8882
0.3,0.4,64,1767.19,157.02,11.2548
0.3,0.4,128,1767.19,308.6,5.7264
0.3,0.6,32,1767.19,98.3,17.9767
0.3,0.6,64,1767.19,159.27,11.0956
0.3,0.6,128,1767.19,265.72,6.6505
0.3,0.8,32,1767.19,99.74,17.7184
0.3,0.8,64,1767.19,158.38,11.1579
0.3,0.8,128,1767.19,255.28,6.9227
0.5,0.4,32,1767.19,98.29,17.9796
0.5,0.4,64,1767.19,151.37,11.6748
0.5,0.4,128,1767.19,253.69,6.9659
0.5,0.6,32,1767.19,90.69,19.486
0.5,0.6,64,1767.19,147.99,11.941
0.5,0.6,128,1767.19,240.84,7.3377
0.5,0.8,32,1767.19,89.01,19.8541
0.5,0.8,64,1767.19,158.79,11.129
0.5,0.8,128,1767.19,236.51,7.4719
