Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,1801.05,129.04,13.9576
0.12,0.4,64,1801.05,188.0,9.5801
0.12,0.4,128,1801.05,334.25,5.3884
0.12,0.6,32,1801.05,114.47,15.7339
0.12,0.6,64,1801.05,185.04,9.7333
0.12,0.6,128,1801.05,326.24,5.5207
0.12,0.8,32,1801.05,112.52,16.0069
0.12,0.8,64,1801.05,179.89,10.0122
0.12,0.8,128,1801.05,309.54,5.8184
0.3,0.4,32,1801.05,101.13,17.8096
0.3,0.4,64,1801.05,162.96,11.052
0.3,0.4,128,1801.05,267.53,6.7322
0.3,0.6,32,1801.05,99.05,18.1825
0.3,0.6,64,1801.05,159.88,11.2647
0.3,0.6,128,1801.05,260.57,6.912
0.3,0.8,32,1801.05,98.48,18.2891
0.3,0.8,64,1801.05,16.97,106.1604
0.3,0.8,128,1801.05,252.68,7.1278
0.5,0.4,32,1801.05,93.74,19.2139
0.5,0.4,64,1801.05,146.57,12.288
0.5,0.4,128,1801.05,262.94,6.8496
0.5,0.6,32,1801.05,92.9,19.3877
0.5,0.6,64,1801.05,143.62,12.5403
0.5,0.6,128,1801.05,251.87,7.1506
0.5,0.8,32,1801.05,89.12,20.2099
0.5,0.8,64,1801.05,139.28,12.9312
0.5,0.8,128,1801.05,274.26,6.567
