Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,2124.63,199.13,10.6693
0.12,0.4,64,2124.63,299.99,7.0823
0.12,0.4,128,2124.63,486.65,4.3658
0.12,0.6,32,2124.63,199.39,10.6559
0.12,0.6,64,2124.63,300.29,7.0753
0.12,0.6,128,2124.63,478.57,4.4395
0.12,0.8,32,2124.63,198.4,10.709
0.12,0.8,64,2124.63,288.78,7.3573
0.12,0.8,128,2124.63,460.24,4.6164
0.3,0.4,32,2124.63,189.95,11.1852
0.3,0.4,64,2124.63,273.1,7.7796
0.3,0.4,128,2124.63,427.7,4.9676
0.3,0.6,32,2124.63,181.98,11.6749
0.3,0.6,64,2124.63,270.59,7.8517
0.3,0.6,128,2124.63,415.28,5.1161
0.3,0.8,32,2124.63,181.9,11.6804
0.3,0.8,64,2124.63,253.58,8.3785
0.3,0.8,128,2124.63,414.45,5.1264
0.5,0.4,32,2124.63,179.16,11.8588
0.5,0.4,64,2124.63,248.17,8.5614
0.5,0.4,128,2124.63,396.72,5.3555
0.5,0.6,32,2124.63,176.18,12.0596
0.5,0.6,64,2124.63,254.57,8.3461
0.5,0.6,128,2124.63,401.58,5.2907
0.5,0.8,32,2124.63,174.78,12.156
0.5,0.8,64,2124.63,243.47,8.7264
0.5,0.8,128,2124.63,393.84,5.3946
