Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,2484.22,192.33,12.9164
0.12,0.4,64,2484.22,298.63,8.3187
0.12,0.4,128,2484.22,487.69,5.0939
0.12,0.6,32,2484.22,188.74,13.1621
0.12,0.6,64,2484.22,282.87,8.7822
0.12,0.6,128,2484.22,484.67,5.1256
0.12,0.8,32,2484.22,186.48,13.3215
0.12,0.8,64,2484.22,283.47,8.7637
0.12,0.8,128,2484.22,482.66,5.1469
0.3,0.4,32,2484.22,169.04,14.6963
0.3,0.4,64,2484.22,261.33,9.5061
0.3,0.4,128,2484.22,432.28,5.7468
0.3,0.6,32,2484.22,167.85,14.7999
0.3,0.6,64,2484.22,258.55,9.6084
0.3,0.6,128,2484.22,415.65,5.9767
0.3,0.8,32,2484.22,168.3,14.7611
0.3,0.8,64,2484.22,269.7,9.2111
0.3,0.8,128,2484.22,419.76,5.9182
0.5,0.4,32,2484.22,167.05,14.8709
0.5,0.4,64,2484.22,250.55,9.9151
0.5,0.4,128,2484.22,420.96,5.9013
0.5,0.6,32,2484.22,164.32,15.118
0.5,0.6,64,2484.22,249.17,9.9699
0.5,0.6,128,2484.22,400.16,6.2081
0.5,0.8,32,2484.22,165.94,14.971
0.5,0.8,64,2484.22,245.59,10.1154
0.5,0.8,128,2484.22,400.39,6.2044
