Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,2573.61,305.08,8.4359
0.12,0.4,64,2573.61,433.9,5.9313
0.12,0.4,128,2573.61,681.79,3.7748
0.12,0.6,32,2573.61,271.23,9.4886
0.12,0.6,64,2573.61,451.17,5.7043
0.12,0.6,128,2573.61,652.43,3.9447
0.12,0.8,32,2573.61,268.01,9.6025
0.12,0.8,64,2573.61,458.73,5.6103
0.12,0.8,128,2573.61,642.52,4.0055
0.3,0.4,32,2573.61,244.09,10.5436
0.3,0.4,64,2573.61,375.81,6.8482
0.3,0.4,128,2573.61,584.11,4.406
0.3,0.6,32,2573.61,278.45,9.2427
0.3,0.6,64,2573.61,382.43,6.7296
0.3,0.6,128,2573.61,550.27,4.677
0.3,0.8,32,2573.61,227.37,11.3193
0.3,0.8,64,2573.61,340.33,7.5622
0.3,0.8,128,2573.61,578.56,4.4483
0.5,0.4,32,2573.61,328.85,7.826
0.5,0.4,64,2573.61,392.0,6.5653
0.5,0.4,128,2573.61,546.03,4.7133
0.5,0.6,32,2573.61,219.95,11.701
0.5,0.6,64,2573.61,324.58,7.9292
0.5,0.6,128,2573.61,524.28,4.9089
0.5,0.8,32,2573.61,267.31,9.6279
0.5,0.8,64,2573.61,317.99,8.0933
0.5,0.8,128,2573.61,510.37,5.0427
