Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,2773.82,175.75,15.7826
0.12,0.4,64,2773.82,316.82,8.7551
0.12,0.4,128,2773.82,455.52,6.0893
0.12,0.6,32,2773.82,172.71,16.0606
0.12,0.6,64,2773.82,275.62,10.0638
0.12,0.6,128,2773.82,450.31,6.1598
0.12,0.8,32,2773.82,181.67,15.2687
0.12,0.8,64,2773.82,286.0,9.6987
0.12,0.8,128,2773.82,446.01,6.2192
0.3,0.4,32,2773.82,170.13,16.3037
0.3,0.4,64,2773.82,252.39,10.9901
0.3,0.4,128,2773.82,402.6,6.8898
0.3,0.6,32,2773.82,157.19,17.6459
0.3,0.6,64,2773.82,243.64,11.3851
0.3,0.6,128,2773.82,396.96,6.9877
0.3,0.8,32,2773.82,163.34,16.9815
0.3,0.8,64,2773.82,235.57,11.7748
0.3,0.8,128,2773.82,387.91,7.1506
0.5,0.4,32,2773.82,163.77,16.937
0.5,0.4,64,2773.82,239.35,11.5892
0.5,0.4,128,2773.82,385.21,7.2008
0.5,0.6,32,2773.82,165.15,16.7956
0.5,0.6,64,2773.82,233.54,11.8775
0.5,0.6,128,2773.82,368.2,7.5334
0.5,0.8,32,2773.82,148.34,18.6987
0.5,0.8,64,2773.82,239.13,11.5994
0.5,0.8,128,2773.82,365.5,7.589
