Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,2554.84,180.53,14.1519
0.12,0.4,64,2554.84,263.69,9.6886
0.12,0.4,128,2554.84,443.7,5.7581
0.12,0.6,32,2554.84,170.56,14.9788
0.12,0.6,64,2554.84,323.95,7.8865
0.12,0.6,128,2554.84,438.59,5.8252
0.12,0.8,32,2554.84,166.14,15.3772
0.12,0.8,64,2554.84,266.39,9.5907
0.12,0.8,128,2554.84,414.07,6.17
0.3,0.4,32,2554.84,165.05,15.4796
0.3,0.4,64,2554.84,236.44,10.8055
0.3,0.4,128,2554.84,431.78,5.917
0.3,0.6,32,2554.84,153.97,16.5929
0.3,0.6,64,2554.84,230.13,11.1018
0.3,0.6,128,2554.84,379.11,6.739
0.3,0.8,32,2554.84,159.55,16.0132
0.3,0.8,64,2554.84,219.71,11.628
0.3,0.8,128,2554.84,356.69,7.1626
0.5,0.4,32,2554.84,151.97,16.8117
0.5,0.4,64,2554.84,214.79,11.8945
0.5,0.4,128,2554.84,348.66,7.3275
0.5,0.6,32,2554.84,203.49,12.5552
0.5,0.6,64,2554.84,225.23,11.3432
0.5,0.6,128,2554.84,395.77,6.4554
0.5,0.8,32,2554.84,145.17,17.5995
0.5,0.8,64,2554.84,218.8,11.6765
0.5,0.8,128,2554.84,346.74,7.3682
