Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,955.94,101.3,9.4368
0.12,0.4,64,955.94,134.66,7.099
0.12,0.4,128,955.94,244.06,3.9168
0.12,0.4,256,955.94,538.52,1.7751
0.12,0.4,512,955.94,1089.06,0.8778
0.12,0.6,32,955.94,96.02,9.9551
0.12,0.6,64,955.94,133.25,7.174
0.12,0.6,128,955.94,227.87,4.195
0.12,0.6,256,955.94,523.98,1.8244
0.12,0.6,512,955.94,1089.94,0.8771
0.12,0.8,32,955.94,80.0,11.9496
0.12,0.8,64,955.94,130.87,7.3047
0.12,0.8,128,955.94,242.33,3.9448
0.12,0.8,256,955.94,516.8,1.8497
0.12,0.8,512,955.94,1086.12,0.8801
0.3,0.4,32,955.94,68.46,13.9631
0.3,0.4,64,955.94,109.74,8.7108
0.3,0.4,128,955.94,210.9,4.5326
0.3,0.4,256,955.94,426.46,2.2416
0.3,0.4,512,955.94,887.45,1.0772
0.3,0.6,32,955.94,69.68,13.7184
0.3,0.6,64,955.94,101.68,9.4011
0.3,0.6,128,955.94,190.99,5.0053
0.3,0.6,256,955.94,430.81,2.2189
0.3,0.6,512,955.94,874.95,1.0926
0.3,0.8,32,955.94,63.75,14.9947
0.3,0.8,64,955.94,104.85,9.1174
0.3,0.8,128,955.94,190.34,5.0223
0.3,0.8,256,955.94,418.47,2.2844
0.3,0.8,512,955.94,869.0,1.1
0.5,0.4,32,955.94,69.81,13.6943
0.5,0.4,64,955.94,100.77,9.4861
0.5,0.4,128,955.94,183.23,5.2173
0.5,0.4,256,955.94,380.05,2.5153
0.5,0.4,512,955.94,810.02,1.1801
0.5,0.6,32,955.94,63.04,15.163
0.5,0.6,64,955.94,94.53,10.1124
0.5,0.6,128,955.94,167.81,5.6965
0.5,0.6,256,955.94,384.53,2.486
0.5,0.6,512,955.94,813.74,1.1747
0.5,0.8,32,955.94,65.06,14.6935
0.5,0.8,64,955.94,92.1,10.3796
0.5,0.8,128,955.94,164.64,5.8062
0.5,0.8,256,955.94,375.56,2.5454
0.5,0.8,512,955.94,802.69,1.1909
