Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,960.14,84.75,11.3297
0.12,0.4,64,960.14,135.45,7.0888
0.12,0.4,128,960.14,237.64,4.0404
0.12,0.4,256,960.14,603.9,1.5899
0.12,0.4,512,960.14,1214.72,0.7904
0.12,0.6,32,960.14,83.99,11.4323
0.12,0.6,64,960.14,141.56,6.7825
0.12,0.6,128,960.14,236.83,4.0541
0.12,0.6,256,960.14,574.59,1.671
0.12,0.6,512,960.14,1243.24,0.7723
0.12,0.8,32,960.14,89.35,10.7455
0.12,0.8,64,960.14,132.27,7.2589
0.12,0.8,128,960.14,253.29,3.7907
0.12,0.8,256,960.14,555.17,1.7294
0.12,0.8,512,960.14,1250.72,0.7677
0.3,0.4,32,960.14,74.45,12.8962
0.3,0.4,64,960.14,109.48,8.7703
0.3,0.4,128,960.14,194.51,4.9363
0.3,0.4,256,960.14,474.13,2.0251
0.3,0.4,512,960.14,1017.93,0.9432
0.3,0.6,32,960.14,69.35,13.8454
0.3,0.6,64,960.14,108.52,8.8477
0.3,0.6,128,960.14,289.89,3.3121
0.3,0.6,256,960.14,468.89,2.0477
0.3,0.6,512,960.14,1217.67,0.7885
0.3,0.8,32,960.14,72.13,13.3111
0.3,0.8,64,960.14,106.35,9.0278
0.3,0.8,128,960.14,266.2,3.6068
0.3,0.8,256,960.14,494.86,1.9402
0.3,0.8,512,960.14,1057.32,0.9081
0.5,0.4,32,960.14,65.56,14.6452
0.5,0.4,64,960.14,100.77,9.5284
0.5,0.4,128,960.14,188.37,5.0972
0.5,0.4,256,960.14,495.79,1.9366
0.5,0.4,512,960.14,948.51,1.0123
0.5,0.6,32,960.14,64.35,14.9205
0.5,0.6,64,960.14,105.01,9.1431
0.5,0.6,128,960.14,188.71,5.0878
0.5,0.6,256,960.14,484.87,1.9802
0.5,0.6,512,960.14,927.89,1.0348
0.5,0.8,32,960.14,66.34,14.4733
0.5,0.8,64,960.14,103.68,9.2609
0.5,0.8,128,960.14,187.86,5.1108
0.5,0.8,256,960.14,424.65,2.261
0.5,0.8,512,960.14,922.88,1.0404
