Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,3859.02,430.8,8.9579
0.12,0.4,64,3859.02,582.02,6.6304
0.12,0.4,128,3859.02,912.17,4.2306
0.12,0.6,32,3859.02,384.81,10.0283
0.12,0.6,64,3859.02,548.69,7.0331
0.12,0.6,128,3859.02,901.54,4.2805
0.12,0.8,32,3859.02,362.21,10.6541
0.12,0.8,64,3859.02,524.87,7.3524
0.12,0.8,128,3859.02,830.74,4.6453
0.3,0.4,32,3859.02,358.78,10.7559
0.3,0.4,64,3859.02,508.53,7.5886
0.3,0.4,128,3859.02,795.96,4.8483
0.3,0.6,32,3859.02,342.73,11.2596
0.3,0.6,64,3859.02,492.15,7.8411
0.3,0.6,128,3859.02,774.91,4.98
0.3,0.8,32,3859.02,316.79,12.1815
0.3,0.8,64,3859.02,470.93,8.1945
0.3,0.8,128,3859.02,737.67,5.2314
0.5,0.4,32,3859.02,333.44,11.5735
0.5,0.4,64,3859.02,480.64,8.029
0.5,0.4,128,3859.02,736.8,5.2376
0.5,0.6,32,3859.02,312.4,12.3529
0.5,0.6,64,3859.02,462.37,8.3461
0.5,0.6,128,3859.02,699.46,5.5171
0.5,0.8,32,3859.02,311.15,12.4026
0.5,0.8,64,3859.02,446.99,8.6334
0.5,0.8,128,3859.02,694.82,5.554
