Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,1471.81,121.68,12.0959
0.12,0.4,64,1471.81,191.4,7.6895
0.12,0.4,128,1471.81,364.92,4.0332
0.12,0.4,256,1471.81,759.4,1.9381
0.12,0.4,512,1471.81,1568.33,0.9385
0.12,0.6,32,1471.81,153.71,9.5751
0.12,0.6,64,1471.81,189.2,7.7792
0.12,0.6,128,1471.81,339.32,4.3375
0.12,0.6,256,1471.81,736.15,1.9993
0.12,0.6,512,1471.81,1520.78,0.9678
0.12,0.8,32,1471.81,142.11,10.357
0.12,0.8,64,1471.81,172.99,8.508
0.12,0.8,128,1471.81,350.45,4.1998
0.12,0.8,256,1471.81,722.8,2.0363
0.12,0.8,512,1471.81,1644.36,0.8951
0.3,0.4,32,1471.81,108.3,13.5899
0.3,0.4,64,1471.81,169.56,8.6804
0.3,0.4,128,1471.81,290.38,5.0686
0.3,0.4,256,1471.81,629.02,2.3398
0.3,0.4,512,1471.81,1335.9,1.1017
0.3,0.6,32,1471.81,103.71,14.1913
0.3,0.6,64,1471.81,155.21,9.4827
0.3,0.6,128,1471.81,297.9,4.9407
0.3,0.6,256,1471.81,617.01,2.3854
0.3,0.6,512,1471.81,1377.83,1.0682
0.3,0.8,32,1471.81,102.97,14.2935
0.3,0.8,64,1471.81,157.29,9.3571
0.3,0.8,128,1471.81,285.26,5.1596
0.3,0.8,256,1471.81,611.56,2.4067
0.3,0.8,512,1471.81,1315.83,1.1185
0.5,0.4,32,1471.81,101.34,14.5233
0.5,0.4,64,1471.81,179.62,8.194
0.5,0.4,128,1471.81,282.34,5.2128
0.5,0.4,256,1471.81,596.04,2.4693
0.5,0.4,512,1471.81,1257.56,1.1704
0.5,0.6,32,1471.81,93.81,15.6884
0.5,0.6,64,1471.81,166.31,8.8495
0.5,0.6,128,1471.81,281.62,5.2262
0.5,0.6,256,1471.81,590.21,2.4937
0.5,0.6,512,1471.81,1240.25,1.1867
0.5,0.8,32,1471.81,90.48,16.2658
0.5,0.8,64,1471.81,147.22,9.9974
0.5,0.8,128,1471.81,286.54,5.1364
0.5,0.8,256,1471.81,582.58,2.5264
0.5,0.8,512,1471.81,1260.79,1.1674
