Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,1452.92,121.17,11.9909
0.12,0.4,64,1452.92,196.31,7.4011
0.12,0.4,128,1452.92,346.02,4.199
0.12,0.6,32,1452.92,120.0,12.1081
0.12,0.6,64,1452.92,186.32,7.7979
0.12,0.6,128,1452.92,342.68,4.2399
0.12,0.8,32,1452.92,116.7,12.4501
0.12,0.8,64,1452.92,181.94,7.9855
0.12,0.8,128,1452.92,335.41,4.3318
0.3,0.4,32,1452.92,101.29,14.3445
0.3,0.4,64,1452.92,167.94,8.6516
0.3,0.4,128,1452.92,303.46,4.7879
0.3,0.6,32,1452.92,105.35,13.7916
0.3,0.6,64,1452.92,160.8,9.0355
0.3,0.6,128,1452.92,284.87,5.1002
0.3,0.8,32,1452.92,98.99,14.677
0.3,0.8,64,1452.92,16.29,89.194
0.3,0.8,128,1452.92,283.32,5.1282
0.5,0.4,32,1452.92,102.11,14.2289
0.5,0.4,64,1452.92,154.51,9.4032
0.5,0.4,128,1452.92,273.77,5.307
0.5,0.6,32,1452.92,96.72,15.0222
0.5,0.6,64,1452.92,155.09,9.3681
0.5,0.6,128,1452.92,263.96,5.5042
0.5,0.8,32,1452.92,94.87,15.3151
0.5,0.8,64,1452.92,154.06,9.4306
0.5,0.8,128,1452.92,253.5,5.7314
