Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,1709.47,126.75,13.4867
0.12,0.4,64,1709.47,191.05,8.9475
0.12,0.4,128,1709.47,350.26,4.8806
0.12,0.6,32,1709.47,123.8,13.8088
0.12,0.6,64,1709.47,200.2,8.5387
0.12,0.6,128,1709.47,346.67,4.9311
0.12,0.8,32,1709.47,118.97,14.3692
0.12,0.8,64,1709.47,189.13,9.0385
0.12,0.8,128,1709.47,346.39,4.935
0.3,0.4,32,1709.47,110.15,15.5189
0.3,0.4,64,1709.47,169.95,10.0584
0.3,0.4,128,1709.47,279.58,6.1145
0.3,0.6,32,1709.47,99.12,17.2457
0.3,0.6,64,1709.47,154.61,11.0568
0.3,0.6,128,1709.47,286.17,5.9735
0.3,0.8,32,1709.47,102.13,16.7379
0.3,0.8,64,1709.47,163.15,10.4782
0.3,0.8,128,1709.47,298.12,5.7341
0.5,0.4,32,1709.47,99.76,17.1364
0.5,0.4,64,1709.47,159.54,10.715
0.5,0.4,128,1709.47,276.23,6.1887
0.5,0.6,32,1709.47,102.56,16.6683
0.5,0.6,64,1709.47,159.27,10.7333
0.5,0.6,128,1709.47,290.14,5.8918
0.5,0.8,32,1709.47,97.38,17.5539
0.5,0.8,64,1709.47,242.53,7.0483
0.5,0.8,128,1709.47,277.18,6.1674
