Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,1591.01,114.88,13.8493
0.12,0.4,64,1591.01,168.27,9.4551
0.12,0.4,128,1591.01,320.46,4.9648
0.12,0.6,32,1591.01,105.01,15.1517
0.12,0.6,64,1591.01,187.44,8.488
0.12,0.6,128,1591.01,401.63,3.9614
0.12,0.8,32,1591.01,101.3,15.7065
0.12,0.8,64,1591.01,170.33,9.3405
0.12,0.8,128,1591.01,292.85,5.4328
0.3,0.4,32,1591.01,90.91,17.5002
0.3,0.4,64,1591.01,151.19,10.523
0.3,0.4,128,1591.01,261.38,6.0869
0.3,0.6,32,1591.01,97.42,16.332
0.3,0.6,64,1591.01,150.8,10.5508
0.3,0.6,128,1591.01,256.28,6.208
0.3,0.8,32,1591.01,91.94,17.3047
0.3,0.8,64,1591.01,144.17,11.0357
0.3,0.8,128,1591.01,250.45,6.3526
0.5,0.4,32,1591.01,88.0,18.0801
0.5,0.4,64,1591.01,146.26,10.8776
0.5,0.4,128,1591.01,238.33,6.6756
0.5,0.6,32,1591.01,85.56,18.5943
0.5,0.6,64,1591.01,135.91,11.7065
0.5,0.6,128,1591.01,244.38,6.5104
0.5,0.8,32,1591.01,86.7,18.3509
0.5,0.8,64,1591.01,137.18,11.5983
0.5,0.8,128,1591.01,242.72,6.555
