Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,48994.14,3618.08,13.5415
0.12,0.4,64,48994.14,4602.5,10.6451
0.12,0.4,128,48994.14,6398.86,7.6567
0.12,0.6,32,48994.14,3453.14,14.1883
0.12,0.6,64,48994.14,4328.77,11.3183
0.12,0.6,128,48994.14,6110.55,8.018
0.12,0.8,32,48994.14,3253.78,15.0576
0.12,0.8,64,48994.14,4194.58,11.6803
0.12,0.8,128,48994.14,5839.53,8.3901
0.3,0.4,32,48994.14,3105.63,15.7759
0.3,0.4,64,48994.14,3890.37,12.5937
0.3,0.4,128,48994.14,5496.16,8.9143
0.3,0.6,32,48994.14,2931.24,16.7145
0.3,0.6,64,48994.14,3722.38,13.162
0.3,0.6,128,48994.14,5248.39,9.3351
0.3,0.8,32,48994.14,2801.57,17.4881
0.3,0.8,64,48994.14,3500.39,13.9968
0.3,0.8,128,48994.14,4993.25,9.8121
0.5,0.4,32,48994.14,2917.78,16.7916
0.5,0.4,64,48994.14,3644.32,13.444
0.5,0.4,128,48994.14,5077.07,9.6501
0.5,0.6,32,48994.14,2757.59,17.767
0.5,0.6,64,48994.14,3443.64,14.2274
0.5,0.6,128,48994.14,4833.07,10.1373
0.5,0.8,32,48994.14,2649.64,18.4909
0.5,0.8,64,48994.14,3311.52,14.795
0.5,0.8,128,48994.14,4659.2,10.5156
