Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,53113.19,3722.73,14.2673
0.12,0.4,64,53113.19,4908.11,10.8215
0.12,0.4,128,53113.19,6626.89,8.0148
0.12,0.6,32,53113.19,3441.39,15.4337
0.12,0.6,64,53113.19,4620.02,11.4963
0.12,0.6,128,53113.19,6280.21,8.4572
0.12,0.8,32,53113.19,3288.28,16.1523
0.12,0.8,64,53113.19,4353.73,12.1995
0.12,0.8,128,53113.19,6021.63,8.8204
0.3,0.4,32,53113.19,3297.26,16.1083
0.3,0.4,64,53113.19,4271.74,12.4336
0.3,0.4,128,53113.19,5739.35,9.2542
0.3,0.6,32,53113.19,3013.88,17.6229
0.3,0.6,64,53113.19,3991.96,13.305
0.3,0.6,128,53113.19,5482.8,9.6872
0.3,0.8,32,53113.19,2969.1,17.8886
0.3,0.8,64,53113.19,3839.63,13.8329
0.3,0.8,128,53113.19,5281.77,10.0559
0.5,0.4,32,53113.19,3125.67,16.9926
0.5,0.4,64,53113.19,3922.27,13.5414
0.5,0.4,128,53113.19,5368.62,9.8933
0.5,0.6,32,53113.19,2947.35,18.0207
0.5,0.6,64,53113.19,3725.69,14.2559
0.5,0.6,128,53113.19,5145.23,10.3228
0.5,0.8,32,53113.19,2847.58,18.652
0.5,0.8,64,53113.19,3621.82,14.6648
0.5,0.8,128,53113.19,4978.27,10.669
