Alpha,Phi,K,Time_Dynamic_ms,Time_Credits_ms,Speedup
0.12,0.4,32,2885.06,446.06,6.4679
0.12,0.4,64,2885.06,583.2,4.9469
0.12,0.4,128,2885.06,937.66,3.0769
0.12,0.6,32,2885.06,403.95,7.1421
0.12,0.6,64,2885.06,564.2,5.1135
0.12,0.6,128,2885.06,874.21,3.3002
0.12,0.8,32,2885.06,362.35,7.962
0.12,0.8,64,2885.06,529.5,5.4486
0.12,0.8,128,2885.06,847.74,3.4032
0.3,0.4,32,2885.06,367.68,7.8468
0.3,0.4,64,2885.06,528.45,5.4595
0.3,0.4,128,2885.06,824.27,3.5001
0.3,0.6,32,2885.06,343.64,8.3955
0.3,0.6,64,2885.06,500.37,5.7659
0.3,0.6,128,2885.06,778.43,3.7063
0.3,0.8,32,2885.06,329.02,8.7685
0.3,0.8,64,2885.06,484.41,5.9559
0.3,0.8,128,2885.06,752.81,3.8324
0.5,0.4,32,2885.06,351.46,8.2087
0.5,0.4,64,2885.06,513.41,5.6194
0.5,0.4,128,2885.06,778.74,3.7048
0.5,0.6,32,2885.06,322.94,8.9337
0.5,0.6,64,2885.06,470.91,6.1265
0.5,0.6,128,2885.06,753.28,3.83
0.5,0.8,32,2885.06,311.75,9.2544
0.5,0.8,64,2885.06,458.0,6.2993
0.5,0.8,128,2885.06,719.64,4.009
