1,1,1,1,1,1,1,1,1,1
1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,0.666667,1,1
1,1,1,1,1,1,1,0.9,1,1
0.833333,1,1,1,1,1,1,1,1,1
1,1,1,0.857143,1,1,0.9,1,0.866667,1
1,0.8,1,1,0.8,0.9,0.857143,0.9,1,1
1,0.8,1,1,0.933333,0.9,0.761905,0.8,1,1
0.909091,0.861111,1,0.955556,1,0.966667,1,0.924242,0.888889,0.972222
0.980702,0.995671,0.97037,0.924695,0.980408,0.978355,0.977778,1,0.982351,0.991903
0.965035,0.9599,0.969697,0.946524,0.962025,0.971429,1,0.963636,0.940171,0.952381
0.666667,0.946742,0.963636,0.928571,0.990476,0.963636,0.666667,1,0.952481,0.938251
